Tanggal,Waktu,Pengirim,Pesan
10/11/24,10:03,Athaya TI,ngoooo
10/11/24,10:03,Athaya TI,koe mampu garap kabeh sih lek
10/11/24,10:03,Athaya TI,iku sg nomer 2 i individu opo ttp kelompok?
10/11/24,10:03,Bayu Samudra Ti,Ngopo cuk
10/11/24,10:11,Ardiyansah Al3x,Nah kui koyone individu
10/11/24,10:18,Bayu Samudra Ti,Individu
10/11/24,12:31,duta,Media omitted
10/11/24,12:32,Ardiyansah Al3x,Bayar ra dut
10/11/24,12:32,duta,free sampe tgl 11
10/11/24,12:32,duta,dino iki
10/11/24,12:32,duta,claim o
10/11/24,12:32,Athaya TI,bisa mabar ga?
10/11/24,12:32,duta,nek dari review ne sih bisa
10/11/24,12:33,duta,lha kui desc e multiplayer
10/11/24,12:34,Athaya TI,lah iya kocak
10/11/24,12:34,Athaya TI,sek download
10/11/24,12:34,Athaya TI,langsung infokan saja
10/11/24,12:39,duta,garap aps bjirr
10/11/24,12:39,Ardiyansah Al3x,Santai bjir masih minggu
10/11/24,12:39,duta,kocakk
10/11/24,12:40,Ardiyansah Al3x,Media omitted
10/11/24,12:43,Athaya TI,review e mostly negative jirrr
10/11/24,12:49,Athaya TI,Media omitted
10/11/24,12:49,Zaki,meh do garap kapan ?
10/11/24,12:49,duta,lagi we rilis nde wingi bjirr
10/11/24,12:50,Athaya TI,ayo discord
10/11/24,12:50,Athaya TI,minggu iki full acara njrr
10/11/24,12:51,Zaki,nek saiki nusul hehe
10/11/24,12:51,Zaki,nek kamous delo
10/11/24,12:51,duta,2
10/11/24,12:52,Athaya TI,yo sg iso sek
10/11/24,12:52,Athaya TI,tapi w makan duls
10/11/24,12:54,Athaya TI,6281337414045 6281288360400 6283863404275
10/11/24,12:54,Ardiyansah Al3x,DC?
10/11/24,12:58,Avicena,null
10/11/24,12:58,Ardiyansah Al3x,Mantap
10/11/24,12:59,Ardiyansah Al3x,6282139259006 ki piye DC pora?
10/11/24,12:59,Athaya TI,selamat cen
10/11/24,12:59,Athaya TI,mangan sek
10/11/24,12:59,Ardiyansah Al3x,Yo kabar kabar e
10/11/24,13:00,Ardiyansah Al3x,Media omitted
10/11/24,13:34,Athaya TI,sido ga
10/11/24,13:38,Ardiyansah Al3x,Sek lagek mangan yok an
10/11/24,13:40,Athaya TI,ngantuk parah i
10/11/24,13:40,Ardiyansah Al3x,La ngko po piye bar bar isya po sore yo kenek
10/11/24,13:42,duta,wes a mangan sek
10/11/24,13:43,Athaya TI,manut
10/11/24,13:43,Athaya TI,yen bengi nyusul tapi
10/11/24,14:23,Bayu Samudra Ti,Podo
10/11/24,17:07,Athaya TI,Media omitted
10/11/24,19:09,Ardiyansah Al3x,cah iki topik e meh opo ki arep tak cicil
10/11/24,19:10,duta,iki lex
10/11/24,19:10,Ardiyansah Al3x,oke
10/11/24,19:12,Athaya TI,Video note omitted
10/11/24,19:13,Ardiyansah Al3x,Media omitted
10/11/24,20:16,Ardiyansah Al3x,Media omitted
10/11/24,20:16,Ardiyansah Al3x,monggo direvisi jika perlu
10/11/24,20:17,Ardiyansah Al3x,Media omitted
10/11/24,20:53,Zaki,paket komplit ngene
10/11/24,21:20,Athaya TI,Media omitted
10/11/24,21:20,Athaya TI,Media omitted
10/11/24,21:20,Athaya TI,Media omitted
10/11/24,21:23,Ardiyansah Al3x,Media omitted
10/13/24,14:57,Ardiyansah Al3x,"Eh cah aps seng nomer 1 kan kon jelaske progres la wi meh dijawab piye, soale kan awak dewe sak kelompok yakali jawaban e bedo bedo progres e"
10/13/24,15:04,duta,angger gawe nggo kata kata ne dewe wae
10/13/24,15:04,Ardiyansah Al3x,maksude ki progrese ki meh di omongne teko ngnedi meh an
10/13/24,15:05,duta,aku sih mung tekan pieces
10/13/24,15:06,Ardiyansah Al3x,berarti fix tekan pieces ya dadi sak kelompok i jawaban e podo
10/13/24,15:07,duta,Media omitted
10/13/24,15:08,Ardiyansah Al3x,Media omitted
10/13/24,15:08,duta,Media omitted
10/13/24,16:36,Bayu Samudra Ti,Iki nomer piro
10/13/24,17:00,Zaki,1
10/13/24,17:04,Ardiyansah Al3x,inpo kan nomer 2
10/13/24,17:10,duta,lha iki paragraf 2 nomor 2
10/13/24,17:10,Ardiyansah Al3x,Media omitted
10/13/24,17:10,Bayu Samudra Ti,La renek nomere marai bingung
10/13/24,17:10,Bayu Samudra Ti,Nomer 2 kan kon gawe nganggo studi kasus meneh
10/13/24,17:10,Ardiyansah Al3x,Media omitted
10/13/24,17:11,Bayu Samudra Ti,Analisis kelayakane
10/13/24,17:11,Ardiyansah Al3x,Maksude
10/13/24,17:11,duta,null
10/13/24,17:11,Bayu Samudra Ti,"Oleh nganggo sek garapane dewe kui, tapi bedo pembahasan . Di gawe analisis kelayakan meneh soko studi kasus kui"
10/13/24,17:12,Ardiyansah Al3x,Mosok iyo jon kerja 2 kali no
10/13/24,17:13,Bayu Samudra Ti,Masute nomer 2 ki studi kelayakan soko stdi kasus ki di gawe ngunu
10/13/24,17:14,Bayu Samudra Ti,Soale kan buatlah contoh analisis kelayakan  sistem  pada studi kasus tertentu
10/13/24,17:15,Ardiyansah Al3x,Ki seng ws ngirim tugas sopo ae cah?
10/13/24,17:18,Zaki,studi kasus e bebas to
10/13/24,17:18,Bayu Samudra Ti,Bebas
10/13/24,17:18,Bayu Samudra Ti,Penting gawe
10/13/24,17:18,Bayu Samudra Ti,Analisis kelayakan
10/13/24,17:19,Zaki,yowes
10/13/24,17:41,duta,aku
10/13/24,17:42,Athaya TI,keren banget kamu bang
10/13/24,17:43,Ardiyansah Al3x,Media omitted
10/13/24,17:45,duta,Media omitted
10/13/24,17:52,Athaya TI,Media omitted
10/13/24,18:13,duta,Media omitted
10/17/24,19:40,Athaya TI,gimans kawan
10/18/24,19:21,Athaya TI,6281337414045
10/18/24,20:44,Ardiyansah Al3x,Media omitted
10/21/24,15:18,Athaya TI,https:gartic.io066Adl02
10/21/24,15:28,Athaya TI,https:gartic.io066TkwAi
10/21/24,15:35,Athaya TI,https:gartic.io055VSAPI
10/21/24,20:42,Athaya TI,Media omitted
10/21/24,20:42,Zaki,sangar
10/21/24,21:02,Athaya TI,6281337414045
10/22/24,07:18,Ardiyansah Al3x,Media omitted
10/22/24,10:50,Athaya TI,Media omitted
10/22/24,11:53,Ardiyansah Al3x,null
10/22/24,11:54,Ardiyansah Al3x,Inter :
10/22/24,12:14,Ardiyansah Al3x,This message was deleted
10/22/24,13:34,Ardiyansah Al3x,Media omitted
10/22/24,18:48,Athaya TI,info nim
10/22/24,18:48,Ardiyansah Al3x,L200220205
10/22/24,18:48,Bayu Samudra Ti,L200220205 alex
10/22/24,18:49,Ardiyansah Al3x,Media omitted
10/22/24,18:50,duta,L200220200
10/22/24,18:51,Bayu Samudra Ti,Media omitted
10/22/24,18:52,duta,Media omitted
10/22/24,18:52,Zaki,L200220208
10/22/24,18:53,Bayu Samudra Ti,Media omitted
10/22/24,18:57,Athaya TI,https:www.canva.comdesignDAGUSzrWBs8av1WbRudLaeRsueB8O88gedit?utmcontentDAGUSzrWBs8utmcampaigndesignshareutmmediumlink2utmsourcesharebutton
10/22/24,18:58,Ardiyansah Al3x,Media omitted
10/22/24,19:00,Athaya TI,Media omitted
10/22/24,19:01,Ardiyansah Al3x,Media omitted
10/22/24,19:01,Athaya TI,golekne logo spada
10/22/24,19:03,Ardiyansah Al3x,https:images.app.goo.glTFxy55H3TUf8zCJd9
10/22/24,19:06,Athaya TI,yang bulat
10/22/24,19:06,Athaya TI,ngga bisa masuk
10/22/24,19:06,Ardiyansah Al3x,Raono jir
10/22/24,19:06,Ardiyansah Al3x,Logo ums opsional akwkwowkw
10/22/24,19:07,Athaya TI,yws logo ums ae
10/22/24,19:08,Athaya TI,6281288360400
10/22/24,19:09,Avicena,?
10/22/24,19:09,Athaya TI,nim kocak
10/22/24,19:09,Avicena,204
10/22/24,19:16,Athaya TI,deki nim piro
10/22/24,19:22,<3,199
10/22/24,19:23,Ardiyansah Al3x,Media omitted
10/22/24,19:25,Athaya TI,dc kene lek
10/22/24,19:25,Ardiyansah Al3x,Sek meh mangan aku
10/22/24,19:29,Athaya TI,ancuk pendahuluan e dowo tenan
10/22/24,19:29,Ardiyansah Al3x,6283863404275 seng gae mana ku  tau
10/22/24,19:31,Bayu Samudra Ti,Suog
10/22/24,19:31,Bayu Samudra Ti,Jenengku kleru
10/22/24,19:31,Ardiyansah Al3x,Kelakuan e 6282139259006 aowkwowwk
10/22/24,19:35,Athaya TI,ws manut ae
10/22/24,19:35,duta,ngerimen cah
10/22/24,19:36,Athaya TI,ngko slide pertama insert logo ums yo
10/22/24,19:36,Athaya TI,tak insert mau ga simetris
10/22/24,19:36,Ardiyansah Al3x,Media omitted
10/22/24,19:36,duta,okee
10/22/24,19:36,Athaya TI,karo kek i bunga opo sesuatu ngono
10/22/24,19:37,Athaya TI,ben ga kosong
10/22/24,19:37,Ardiyansah Al3x,Media omitted
10/22/24,19:37,duta,okee
10/22/24,19:39,duta,null
10/22/24,19:39,Athaya TI,jirrr saitama kah
10/22/24,19:40,duta,bjirrlahh
10/22/24,19:40,duta,lengah dikit langsung bahas film porno
10/22/24,19:41,Athaya TI,ngomong o dut ono sg nduwe agomo
10/22/24,19:42,duta,null
10/22/24,19:44,Athaya TI,oyyyy
10/22/24,19:44,Athaya TI,mengerikan
10/22/24,19:45,Bayu Samudra Ti,Media omitted
10/22/24,19:50,Athaya TI,Media omitted
10/22/24,19:50,Bayu Samudra Ti,Kalimat lengkap e pie
10/22/24,19:50,Bayu Samudra Ti,Ss en
10/22/24,19:51,Athaya TI,Media omitted
10/22/24,19:52,Ardiyansah Al3x,Sek tak deloke e file sena sek
10/22/24,19:53,Ardiyansah Al3x,Nk ng file sena varias ki
10/22/24,19:53,Ardiyansah Al3x,6281288360400 varias apa jir
10/22/24,19:55,Athaya TI,opo varian
10/22/24,19:55,Ardiyansah Al3x,6281288360400 inpo inpo
10/22/24,19:55,Ardiyansah Al3x,Media omitted
10/22/24,19:56,Ardiyansah Al3x,Nk manut dokumen e sena varias ki
10/22/24,19:56,Avicena,Variasi
10/22/24,19:56,Ardiyansah Al3x,Media omitted
10/22/24,20:53,Athaya TI,akeh tenan anying
10/22/24,21:21,Athaya TI,iki ga ono kelayakan hukum?
10/22/24,21:21,Athaya TI,oh ono
10/22/24,21:26,duta,tak edit iki?
10/22/24,21:26,Athaya TI,iyo sesuai rencana
10/22/24,21:27,duta,iki tok?
10/22/24,21:27,Athaya TI,yhh
10/22/24,21:28,Athaya TI,karo elemen yen pengen
10/22/24,21:44,Athaya TI,ws bar
10/22/24,21:46,Avicena,Jenenge co
10/22/24,21:50,duta,done
10/22/24,21:50,duta,iki ancen ppt ne akeh?
10/22/24,21:50,duta,kek oga ppt bjirr
10/22/24,21:52,Athaya TI,aku manut sg ngek i materi bzir
10/22/24,22:02,Avicena,Pendahuluan e 3 slide jir
10/22/24,22:07,Athaya TI,lha 8 sitasi
10/22/24,22:07,Athaya TI,meh gimana 6281337414045
10/22/24,22:08,Ardiyansah Al3x,Gimana piye
10/23/24,08:50,Athaya TI,Kisi2 mppl:
10/23/24,09:00,Athaya TI,Media omitted
10/23/24,09:08,Athaya TI,https:gartic.io066FzNyo
10/23/24,09:20,Ardiyansah Al3x,Media omitted
10/23/24,09:20,Athaya TI,https:gartic.io066rtiy8
10/23/24,14:06,Ardiyansah Al3x,6282139259006 seng nggowo laptop kowe to?
10/23/24,14:36,Athaya TI,nda tau
10/24/24,19:50,<3,info isi laporan e op ae This message was edited
10/24/24,19:53,Athaya TI,Media omitted
10/24/24,19:54,<3,tenanan jink
10/24/24,19:58,duta,"pendahuluan, isi"
10/24/24,19:58,duta,dapus?
10/24/24,19:59,<3,enek seng moto ppt ra
10/24/24,20:01,Ardiyansah Al3x,Ppt sng ndi?
10/24/24,20:03,duta,ppt opo?
10/24/24,20:11,<3,seng isi laporan kae lo
10/24/24,20:18,Ardiyansah Al3x,Iki?
10/24/24,20:43,<3,ws ws
10/24/24,20:43,<3,iki seng kelayakan sistem gur teko ekonomi jir
10/24/24,20:44,<3,dihapus op gen ae
10/24/24,20:44,Zaki,sing perlu tok ae
10/24/24,20:59,Ardiyansah Al3x,Ga kabeh po?
10/24/24,21:05,<3,la iki
10/24/24,22:07,<3,Media omitted
10/24/24,22:07,<3,tok ngumpulke nengdi
10/24/24,22:07,duta,spada
10/24/24,22:08,<3,ga enk i
10/24/24,22:19,Zaki,drung digawe paling
10/27/24,18:13,<3,maateri aps gur teko pertemuan 5 to seng spada
10/27/24,18:13,Ardiyansah Al3x,yes king
10/27/24,18:14,<3,wokeh
10/27/24,18:14,<3,lhaa pengumpulan laporan e enk rung cuy
10/27/24,18:14,Ardiyansah Al3x,ws mbok sitasi dik wi pendahuluanne
10/27/24,18:15,<3,aaku copy ppt i
10/27/24,18:15,Ardiyansah Al3x,ppt durung di sitasi ketoke This message was edited
10/27/24,18:17,<3,tambahi cuy
10/29/24,22:25,Zaki,Kisi-Kisi DWDM
10/29/24,22:26,Athaya TI,laporan e ws disubmit?
10/29/24,22:27,Zaki,sampun
10/29/24,22:33,Avicena,Zak iki kisi dosen sopo?
10/29/24,22:35,Athaya TI,ketok e tipe soal e mung 1
10/29/24,22:36,Zaki,"ra ngerti si, tapi oleh ko kancaku sak kelas mbi dewe"
10/29/24,22:36,Avicena,Oke
10/29/24,22:36,Zaki,info rangkuman
10/29/24,22:37,Athaya TI,tutor kubus bolo
10/30/24,00:28,Bayu Samudra Ti,Ndelok video sek bab 4
10/30/24,00:28,Bayu Samudra Ti,Neng ol
10/30/24,00:28,Bayu Samudra Ti,Sek pak yusuf jelasne
11/1/24,20:00,Bayu Samudra Ti,Info jawaban soal nomer 1 tahun lalu MPPL
11/1/24,20:05,Athaya TI,This message was deleted
11/1/24,20:07,Athaya TI,Aspek Bisnis:
11/1/24,20:08,Ardiyansah Al3x,Media omitted
11/1/24,20:09,Athaya TI,Media omitted
11/1/24,20:10,Ardiyansah Al3x,Media omitted
11/1/24,20:10,Ardiyansah Al3x,Media omitted
11/1/24,20:10,Ardiyansah Al3x,Media omitted
11/10/24,10:58,Zaki,https:www.instagram.comreelDCCHxqRvxSF?igshcWNwZXN2NTN0NHZv
11/10/24,10:58,Zaki,6281336530958
11/10/24,11:05,Ardiyansah Al3x,Media omitted
11/10/24,11:05,Zaki,mirip diki
11/10/24,11:06,Ardiyansah Al3x,Dicky budiono
11/10/24,11:15,Zaki,siregar
11/10/24,12:22,<3,Media omitted
11/18/24,17:35,duta,aps ono tugas ga cah?
11/20/24,20:57,<3,https:youtu.be00o1vJYTp4I?si9LdkM0neVVS64zlW
11/21/24,11:34,Bayu Samudra Ti,Media omitted
11/21/24,11:37,duta,gas lek
11/23/24,18:18,Bayu Samudra Ti,Info aps lek
11/23/24,18:25,Ardiyansah Al3x,6281336530958 kirim neh dik rakenek di download ki
11/23/24,18:34,Athaya TI,tugas 1 sg ndi? spada kae?
11/23/24,18:35,duta,iyo
11/23/24,18:35,Athaya TI,okeng
11/23/24,18:35,Ardiyansah Al3x,Tugasi siji ki sing tugas kelompok opo tugas individu?
11/23/24,18:36,duta,iki sing digawe perancangan arsitektur sistem mbe perancangan database sistem e berdasarkan analisis spada kelompok?
11/23/24,18:36,Athaya TI,berdasarkan tugas 1
11/23/24,18:36,Athaya TI,lha tugas 1 i sg ndi
11/23/24,18:37,Ardiyansah Al3x,Media omitted
11/23/24,18:38,Zaki,tugas 1 i le kelompok ga si
11/23/24,18:38,Athaya TI,Media omitted
11/23/24,18:39,Zaki,opo sing analisis kelayakan ?
11/23/24,18:39,duta,iyo
11/23/24,18:39,duta,sing tugas kelompok di analisis dewe meneh opo kelompok?
11/23/24,18:39,Athaya TI,yen analisis kelayakan i kelompok
11/23/24,18:40,Athaya TI,yen sg iki kae asal gawe jir
11/23/24,18:43,Athaya TI,opo sg spada ae?
11/23/24,18:43,Zaki,bingung gua
11/23/24,18:44,Athaya TI,2
11/23/24,18:53,duta,sing kelompok analisis spada
11/23/24,18:54,Athaya TI,sumber?
11/23/24,18:54,Athaya TI,a1?
11/23/24,19:01,duta,rambut zidane
11/23/24,19:12,Athaya TI,yws spada ae yo
11/23/24,19:12,Athaya TI,garap dut akwkwkwl
11/23/24,19:32,Bayu Samudra Ti,Media omitted
11/23/24,19:34,<3,Media omitted
11/23/24,19:55,duta,Media omitted
11/23/24,23:24,duta,sido ne sing ndi cuy?
11/23/24,23:24,duta,sing kelompok opo analisis pieces?
11/23/24,23:24,duta,nek pieces kan golek studi kasus dewe
11/24/24,12:52,Athaya TI,piye ki sidane sg ndi?
11/24/24,12:56,Zaki,masih bingung saya
11/24/24,22:18,Bayu Samudra Ti,aku nganggo sek tugas1 kelompok pak
11/24/24,22:21,Ardiyansah Al3x,Media omitted
12/9/24,18:02,Athaya TI,iki tugas e piye wak?
12/9/24,18:12,Zaki,kurang tau
12/9/24,18:15,Bayu Samudra Ti,Info sek wes garap lekk
12/10/24,13:26,duta,rancangan e pie?
12/10/24,13:26,duta,nek ui ne ngko tak jajal gawe ne
12/10/24,13:27,duta,kui garap dewe dewe opo oleh digarap sak kelompok tapi ngumpulno ne mandiri?
12/10/24,13:27,Ardiyansah Al3x,Nah iki piye jane
12/10/24,13:27,Athaya TI,nggonku ws arep dadi i
12/10/24,13:27,duta,Medium Fidelity Prototype
12/10/24,13:27,duta,sing opo? rancangan opo desain ui ne?
12/10/24,13:27,Athaya TI,kabeh si
12/10/24,13:28,duta,rancangan e kek pie ta?
12/10/24,13:28,duta,nonton nggonmu
12/10/24,13:28,Athaya TI,Media omitted
12/10/24,13:31,duta,mung apa yang masuk ke web mbe apa yang dikeluarkan web tok?
12/10/24,13:31,Athaya TI,iyo ketok e lha mung rancangan
12/10/24,13:31,duta,sing rancangan masukan dan keluaran wi ppt ne sing ndi? aku moco isine ui kabeh
12/10/24,13:31,Athaya TI,lha yo ga reti
12/10/24,13:31,Athaya TI,ppt lho njupuk seko imk
12/10/24,13:32,duta,bjirr
12/10/24,13:32,duta,lha kue? gpt kah?
12/10/24,13:32,Athaya TI,ingyhh
12/10/24,13:33,duta,desain mu meh bok sama no spada persis opo ono sing bok rubah?
12/10/24,13:33,Athaya TI,gawe dewe
12/10/24,13:33,duta,ui ol di rename spada oleh ga?
12/10/24,13:33,Athaya TI,oleh ae
12/10/24,13:33,Athaya TI,aku nganggo ui classroom
12/10/24,13:33,Athaya TI,mumet jir
12/10/24,13:34,duta,bok gawe versi mobile e ga?
12/10/24,13:34,Athaya TI,ga
12/10/24,13:34,Athaya TI,desktop doang
12/10/24,13:34,Athaya TI,ntar tak kirim yen ws dadi
12/10/24,13:35,duta,okee
12/10/24,13:35,duta,nggo figma kan?
12/10/24,13:35,Athaya TI,nggh
12/10/24,13:35,duta,nggihh
12/10/24,13:36,Athaya TI,Media omitted
12/10/24,13:48,Athaya TI,colab ae piye ono sg gawe versi mobile ono sg gawe versi desktop
12/10/24,13:49,duta,difokuske web tok wae
12/10/24,14:36,Athaya TI,Media omitted
12/10/24,14:37,Ardiyansah Al3x,Media omitted
12/11/24,16:27,Ardiyansah Al3x,Media omitted
12/11/24,16:28,Ardiyansah Al3x,Media omitted
12/11/24,16:35,Bayu Samudra Ti,Media omitted
12/11/24,16:38,Ardiyansah Al3x,startuml
12/11/24,16:39,Ardiyansah Al3x,startuml
12/11/24,16:41,Avicena,Media omitted
12/11/24,16:42,Ardiyansah Al3x,startuml
12/11/24,16:45,Ardiyansah Al3x,startuml
12/11/24,17:01,Bayu Samudra Ti,Media omitted
12/11/24,17:02,Ardiyansah Al3x,startuml
12/11/24,17:04,Avicena,Media omitted
12/11/24,17:06,Ardiyansah Al3x,1. Login
12/11/24,17:08,Ardiyansah Al3x,startuml
12/11/24,17:09,Athaya TI,Media omitted
12/11/24,20:23,Bayu Samudra Ti,Dwdm sesuk prei ra lek??
12/11/24,20:45,Zaki,mbuh
12/11/24,21:09,Ardiyansah Al3x, PENGUMUMAN
12/11/24,21:09,Ardiyansah Al3x,Inpo akurat bolo
12/11/24,21:11,Athaya TI,oke bolo
12/15/24,19:06,Athaya TI,Media omitted
12/15/24,19:13,Zaki,mokeup e sidone nganggo gone sopo cik
12/15/24,19:14,Ardiyansah Al3x,Seng apek seng genah
12/16/24,19:59,Athaya TI,sg durung ono opo?
12/16/24,19:59,Athaya TI,activity diagram tok kan
12/16/24,20:07,Zaki,koyoke
12/16/24,20:28,duta,Dokumen perancangan sistem berisi:
12/16/24,20:29,Bayu Samudra Ti,Data flow ne opo uwes?
12/16/24,20:31,Athaya TI,ga reti
12/17/24,09:58,Athaya TI,piye wak
12/17/24,09:59,Zaki,manut
12/17/24,10:07,Bayu Samudra Ti,Media omitted
12/17/24,10:09,Athaya TI,6281338245602 mock up mu kirim sini dut
12/17/24,10:14,duta,sabar
12/17/24,10:44,Ardiyansah Al3x,Buru jir ndang tak garap
12/17/24,10:46,duta,Media omitted
12/17/24,10:50,Athaya TI,lha yo
12/17/24,10:50,Athaya TI,santai
12/17/24,10:52,Ardiyansah Al3x,Media omitted
12/17/24,10:53,duta,Media omitted
12/17/24,11:00,duta,Media omitted
12/17/24,11:41,Bayu Samudra Ti,Databasemu
12/17/24,11:41,Bayu Samudra Ti,Sek perancangan database sisan
12/17/24,11:42,Bayu Samudra Ti,Soale mockup kudu podo mbi perancangan database e
12/17/24,11:42,Bayu Samudra Ti,Iki enek forume to?
12/17/24,12:12,duta,ora gawe database i
12/17/24,14:30,Ardiyansah Al3x,Media omitted
12/17/24,15:25,Ardiyansah Al3x,This message was deleted
12/17/24,16:26,Ardiyansah Al3x,Media omitted
12/17/24,16:30,Athaya TI,apaan tuh
12/17/24,16:30,Athaya TI,sg gawe database koe tok lek
12/17/24,16:30,Athaya TI,lain e nganggo sg individu
12/17/24,16:31,Ardiyansah Al3x,"Activity diagram mbi database, kui aku manut sengko tugase lek bayu dadi ngko ui ne nggo nggone bayu"
12/17/24,16:32,Athaya TI,emohh
12/17/24,16:32,Ardiyansah Al3x,Media omitted
12/17/24,16:32,Athaya TI,Media omitted
12/17/24,16:33,Athaya TI,brati iki gawe 2 to pdf karo ppt?
12/17/24,16:34,Ardiyansah Al3x,hoo
12/17/24,16:34,Ardiyansah Al3x,bagi tugas e
12/17/24,16:34,Ardiyansah Al3x,inpo contoh data flow yok piye anjir ng google bedo bedo i to
12/17/24,16:34,Athaya TI, This message was edited
12/17/24,16:35,Athaya TI,tak gawe ppt
12/17/24,16:35,Ardiyansah Al3x,"aku gae activity,data flow,karo database"
12/17/24,16:35,Athaya TI,yo ngko pdf e kon gawe cah cah
12/17/24,16:36,Athaya TI,6285865218530 6281288360400 6283863404275 6281336530958 6281338245602
12/17/24,16:36,Athaya TI,13135550002 conton data flow diagram
12/17/24,16:36,Meta AI,Media omitted
12/17/24,16:37,Athaya TI,jir
12/17/24,16:37,Athaya TI,typo
12/17/24,16:37,Athaya TI,13135550002 contoh data flow diagram
12/17/24,16:37,Meta AI,Media omitted
12/17/24,16:37,Ardiyansah Al3x,Coh coh
12/17/24,16:37,Ardiyansah Al3x,Matane opo wi
12/17/24,16:37,Athaya TI,juh
12/17/24,16:37,Ardiyansah Al3x,13135550002 tolol
12/17/24,16:37,Zaki,coh pcb
12/17/24,16:37,Meta AI,Halo! Sepertinya kamu ingin berbicara dalam bahasa Indonesia. Bagaimana saya bisa membantu kamu hari ini?
12/17/24,16:37,Athaya TI,blog
12/17/24,16:37,Ardiyansah Al3x,Aowkwowk
12/17/24,16:38,Zaki,pdf e tak gawene
12/17/24,16:38,Athaya TI,13135550002 kamu sama chatgpt bagus mana?
12/17/24,16:38,Meta AI,"Saya dan ChatGPT adalah dua model bahasa AI yang dikembangkan oleh perusahaan teknologi berbeda, yaitu Meta dan OpenAI. Keduanya memiliki kelebihan dan kekurangan masing-masing."
12/17/24,16:38,Ardiyansah Al3x,13135550002 pucuk ubi pucuk kangkung
